Date,Description,Amount,Category,Labels,Notes,TransactionType,OriginalDescription,AccountName,BudgetCategory
2021-01-22,Venmo,-2,Shopping,,,debit,Web Authorized Pmt Venmo,Ashley - Checking,ShoppingBudget
2021-01-31,Deposit Dividend Split Rate/Annual Percentage Yield Ea,0.31,Investments,,,credit,Deposit Dividend Split Rate/Annu,Ashley - REWARDS CHECKING,Income
2021-01-31,Deposit Dividend 0.050%/Annual Percentage Yield Earned,0.11,Investments,,,credit,Deposit Dividend 0.050%/Annual P,Rob - SHARE SAVINGS,Income
2021-01-31,Deposit Dividend Split Rate/Annual Percentage Yield Ea,0.11,Investments,,,credit,Deposit Dividend Split Rate/Annu,Rob - REWARDS CHECKING,Income
2021-01-31,Hy-Vee,-21.04,Groceries,,,debit,HY-VEE DAVENPORT 1108,Rob - Freedom,FoodBudget
2021-01-29,JOHN DEERE WORLD PAYROLL PPD ID: 9362382580,2730.49,Paycheck,,,credit,JOHN DEERE WORLD PAYROLL,Rob - CHASE CHECKING,Income
2021-01-29,Wal-Mart,-1.37,Baby Supplies,,,debit,WALMART GROCERY,Rob - Freedom,BabySuppliesBudget
2021-01-29,Amazon,-9.69,Shopping,,,debit,Amazon.com*TY2NT9SJ3,CREDIT CARD,ShoppingBudget
2021-01-28,Wal-Mart,-107.33,Groceries,,,debit,WALMART GROCERY,Rob - Freedom,FoodBudget
2021-01-28,Wal-Mart,-8,Home Supplies,,,debit,WALMART GROCERY,Rob - Freedom,ShoppingBudget
2021-01-26,"To Qu ad Cities Pediatrics, PC 01/26",-204.26,Doctor,,Colin,debit,Online Payment 11069340365 To Qu,Rob - CHASE CHECKING,Miscellaneous
2021-01-25,GENESIS HEALTH SYSTEM,-767.98,Doctor,,Colin,debit,GENESIS HEALTH SYSTEM,Ashley - CREDIT CARD,Miscellaneous
2021-01-25,Amazon,-44.23,Shopping,,,debit,Amazon.com*O96XI0RF3,CREDIT CARD,ShoppingBudget
2021-01-25,Red Robin,-7.54,Restaurants,,,debit,Withdrawal Debit Card/RED ROBIN,Ashley - REWARDS CHECKING,FoodBudget
2021-01-25,Netflix,-13.9,Entertainment,,,debit,Recurring Withdrawal Debit Card/,Ashley - REWARDS CHECKING,Entertainment
2021-01-24,Hy-Vee,-10.81,Groceries,,,debit,HY-VEE DAVENPORT 1108,Rob - Freedom,FoodBudget
2021-01-24,State Farm,-272.68,Auto Insurance,,,debit,STATE FARM  INSURANCE,Ashley - CREDIT CARD,AutoInsuranceRob
2021-01-24,Amazon,12.71,Shopping,,,credit,AMZN Mktp US,CREDIT CARD,ShoppingBudget
